"","ID","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",1,13.9499998092651,8.19999980926514,0.792999982833862,64.5,18.8500003814697,8.55000019073486,10.3000001907349,13.25,14.4499998092651,14.4499998092651,12.9499998092651,4797,524.400024414062,246.100006103516,22.3999996185303,1532.19995117188,862.799987792969,1249.30004882812,1470.30004882812
"2",2,26.25,8.69999980926514,0.791000008583069,57.7999992370605,32.6500015258789,21.6499996185303,11,25.75,26.0499992370605,26.9500007629395,25.4500007629395,3268.69995117188,444.100006103516,130.199996948242,36.7999992370605,1182.40002441406,485,634.799987792969,1016.90002441406
"3",3,26.25,8.69999980926514,0.784999966621399,56.7000007629395,32.75,21.6499996185303,11.1000003814697,25.75,26.0499992370605,26.9500007629395,25.4500007629395,3242.89990234375,441.700012207031,132.199996948242,36.7999992370605,1174.19995117188,492.200012207031,613.400024414062,1018.79998779297
"4",4,23.8500003814697,8.60000038146973,0.791000008583069,48.7000007629395,30.0499992370605,19.1499996185303,10.8999996185303,23.4500007629395,23.5499992370605,24.4500007629395,23.1499996185303,3640.89990234375,486.399993896484,149.399993896484,35.5,1299.09997558594,548.200012207031,719.799987792969,1118.90002441406
"5",5,25.25,8.69999980926514,0.792999982833862,53.2000007629395,31.6499996185303,20.6499996185303,11,24.8500003814697,25.0499992370605,25.9500007629395,24.5499992370605,3212.10009765625,440,125.800003051758,37.4000015258789,1167.69995117188,472.799987792969,618.200012207031,1003
"6",6,16.0499992370605,8.19999980926514,0.876000046730042,23.2000007629395,20.5499992370605,11.1499996185303,9.39999961853027,15.9499998092651,15.75,16.3500003814697,15.75,2696.10009765625,353.600006103516,104.5,37.9000015258789,914.5,389.5,869.299987792969,416.100006103516
"7",7,26.1499996185303,8.69999980926514,0.782999992370605,56.2999992370605,32.5499992370605,21.4500007629395,11.1000003814697,25.6499996185303,25.8500003814697,26.8500003814697,25.3500003814697,3257.10009765625,443.799987792969,129.899993896484,36.9000015258789,1180.30004882812,484.799987792969,627.599975585938,1017
"8",8,25.9500007629395,8.69999980926514,0.778999984264374,57.7000007629395,32.4500007629395,21.25,11.1999998092651,25.4500007629395,25.6499996185303,26.6499996185303,25.1499996185303,3222.39990234375,439.799987792969,131.5,37,1168.09997558594,490.5,605.400024414062,1015
"9",9,26.5499992370605,8.69999980926514,0.774999976158142,59.0999984741211,33.0499992370605,21.8500003814697,11.1999998092651,26.0499992370605,26.25,27.25,25.75,3266.69995117188,444,133.100006103516,36.7000007629395,1181.30004882812,494.600006103516,622,1023.5
"10",10,22.25,7.59999990463257,0.852000057697296,26.8999996185303,26.5499992370605,17.6499996185303,8.89999961853027,21.8500003814697,22.5499992370605,22.5499992370605,21.8500003814697,1363.59997558594,200.300003051758,35.5999984741211,45.7000007629395,500.899993896484,135.199996948242,370.200012207031,500.899993896484
"11",11,25.4500007629395,4.69999980926514,0.826000034809113,23.3999996185303,28.3500003814697,22.6499996185303,5.69999980926514,25.75,25.4500007629395,25.75,25.1499996185303,4431.5,432.100006103516,308.100006103516,10.6999998092651,1230.09997558594,977.200012207031,1230.09997558594,1176.5
"12",12,22.1499996185303,7.40000009536743,0.852000057697296,23.6000003814697,26.25,17.5499992370605,8.69999980926514,21.8500003814697,22.3500003814697,22.4500007629395,21.8500003814697,1240.19995117188,174.800003051758,35.7999992370605,43.4000015258789,444.399993896484,134.100006103516,343.399993896484,444.399993896484
"13",13,25.25,2.5,0.765999972820282,25.6000003814697,26.9500007629395,23.75,3.20000004768372,25.0499992370605,25.6499996185303,25.6499996185303,25.0499992370605,6553.5,1356.09997558594,649.599975585938,21,3885.39990234375,2206.80004882812,2788.30004882812,3736.89990234375
"14",14,22.1499996185303,7.40000009536743,0.859000027179718,24,26.1499996185303,17.5499992370605,8.60000038146973,21.75,22.25,22.3500003814697,21.75,1240.30004882812,172.5,37.0999984741211,42.5,440.5,138,344.700012207031,440.5
"15",15,18.4500007629395,5.90000009536743,0.853999972343445,20.2000007629395,21.75,14.8500003814697,6.90000009536743,18.25,18.5499992370605,18.75,18.25,2892.89990234375,330.100006103516,163.800003051758,22.8999996185303,895.599975585938,557.400024414062,824.099975585938,794.200012207031
"16",16,13.75,8.19999980926514,0.791999995708466,61.5999984741211,18.75,8.44999980926514,10.3000001907349,13.1499996185303,14.25,14.25,12.8500003814697,5208.39990234375,573.900024414062,264.5,23,1672.40002441406,921.400024414062,1348.30004882812,1612.5
"17",17,26.9500007629395,8.89999961853027,0.782999992370605,63.5,33.5499992370605,22.1499996185303,11.3999996185303,26.3500003814697,26.75,27.75,26.0499992370605,2726.60009765625,381.600006103516,100.400001525879,39.0999984741211,999.099975585938,389.100006103516,512.900024414062,851.099975585938
"18",18,26.3500003814697,8.80000019073486,0.788999974727631,58.7999992370605,32.8499984741211,21.6499996185303,11.1999998092651,25.75,26.0499992370605,27.0499992370605,25.4500007629395,2950.19995117188,408.700012207031,112.300003051758,38.2999992370605,1077.40002441406,428.700012207031,560.099975585938,922.700012207031
"19",19,25.6499996185303,8.69999980926514,0.787000000476837,55.2999992370605,32.0499992370605,21.0499992370605,11,25.1499996185303,25.3500003814697,26.3500003814697,24.8500003814697,3390.89990234375,458,139.699996948242,36.2000007629395,1220.59997558594,515.5,650.599975585938,1057.19995117188
"20",20,25.5499992370605,8.80000019073486,0.794999957084656,54.5,31.9500007629395,20.9500007629395,11,25.1499996185303,25.3500003814697,26.25,24.8500003814697,3134.80004882812,429.799987792969,120.699996948242,37.5999984741211,1140.09997558594,455.299987792969,608,973.5
"21",21,20.0499992370605,9.10000038146973,0.830000042915344,19.5,25.75,14.75,11,20.1499996185303,19.9500007629395,20.25,19.75,2010.69995117188,252.199996948242,65.6999969482422,33.2000007629395,640.099975585938,259.299987792969,582.599975585938,530.799987792969
"22",22,28.25,8.80000019073486,0.773000001907349,73.1999969482422,34.5499992370605,23.1499996185303,11.3999996185303,27.4500007629395,28.0499992370605,29.1499996185303,27.1499996185303,2228.19995117188,288.399993896484,65.8000030517578,38.2000007629395,762.400024414062,262.5,526.700012207031,595.599975585938
"23",23,21.8500003814697,8.60000038146973,0.831999957561493,39.0999984741211,27.5499992370605,17.25,10.3000001907349,21.8500003814697,21.6499996185303,22.3500003814697,21.3500003814697,3551.30004882812,453.799987792969,86.9000015258789,40.7999992370605,1250,360.899993896484,1036.40002441406,848
"24",24,17.25,8.80000019073486,0.833999991416931,22.5,22.25,11.6499996185303,10.6000003814697,17.25,17.3500003814697,17.5499992370605,16.9500007629395,3192.39990234375,403,134.800003051758,29.2000007629395,1008.40002441406,494.5,716.900024414062,988.599975585938
