;locality;stateProvince;occurrenceStatus;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;elevation;eventDate;year;basisOfRecord;institutionCode;collectionCode;issue
2343;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2344;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2020;2020;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2345;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2346;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2347;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2348;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2349;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2350;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;2019-01;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2351;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2352;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/08/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2353;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2354;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2355;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2356;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2357;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2358;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2359;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2360;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2361;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2362;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;2018-12;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2363;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2364;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2365;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2366;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;2018-11;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2367;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2368;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2369;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2370;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2371;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2372;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/12/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2373;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2374;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2375;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2376;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2377;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2378;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2379;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2380;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2381;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2382;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/12/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2383;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/10/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2384;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2385;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/04/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2386;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/04/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2387;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2388;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2389;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/10/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2390;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2391;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2392;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/02/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2393;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/12/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2394;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/07/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2395;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2396;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2397;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2398;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2399;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2400;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2401;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2402;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/11/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2403;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;2018-10;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2404;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2405;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;2018-10;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2406;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/07/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2407;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2408;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2409;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2410;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/12/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2411;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2412;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2413;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2414;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2020;2020;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2415;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2416;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/12/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2417;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2418;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2419;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2420;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2421;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/11/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2422;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2423;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2424;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2425;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2426;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/06/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2427;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2428;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2429;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2430;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2431;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2432;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/11/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2433;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2434;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2435;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/08/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2436;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/03/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2437;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2438;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2439;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/04/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2440;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/05/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2441;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2442;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/12/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2443;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2444;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/12/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2445;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2446;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/10/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2447;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2448;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2449;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2450;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
2451;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
