"","...1","decimalLatitude","decimalLongitude","bio_01","bio_02","bio_04","bio_12","bio_15","bio_18"
"1",1,1.60986,-76.109055,13.9499998092651,8.19999980926514,64.5,4797,22.3999996185303,1249.30004882812
"2",2,5.928789,-74.83953,26.25,8.69999980926514,57.7999992370605,3268.69995117188,36.7999992370605,634.799987792969
"3",3,5.89226,-74.855286,26.25,8.69999980926514,56.7000007629395,3242.89990234375,36.7999992370605,613.400024414062
"4",6,5.94466,-74.85973,23.8500003814697,8.60000038146973,48.7000007629395,3640.89990234375,35.5,719.799987792969
"5",8,5.916581,-74.816895,25.25,8.69999980926514,53.2000007629395,3212.10009765625,37.4000015258789,618.200012207031
"6",9,5.058515,-75.49142,16.0499992370605,8.19999980926514,23.2000007629395,2696.10009765625,37.9000015258789,869.299987792969
"7",12,5.922644,-74.8385,26.1499996185303,8.69999980926514,56.2999992370605,3257.10009765625,36.9000015258789,627.599975585938
"8",13,5.886597,-74.85709,25.9500007629395,8.69999980926514,57.7000007629395,3222.39990234375,37,605.400024414062
"9",15,5.9009,-74.8569,26.5499992370605,8.69999980926514,59.0999984741211,3266.69995117188,36.7000007629395,622
"10",23,3.350704,-76.509045,22.25,7.59999990463257,26.8999996185303,1363.59997558594,45.7000007629395,370.200012207031
"11",24,4.916151,-76.28924,25.4500007629395,4.69999980926514,23.3999996185303,4431.5,10.6999998092651,1230.09997558594
"12",25,3.432554,-76.514553,22.1499996185303,7.40000009536743,23.6000003814697,1240.19995117188,43.4000015258789,343.399993896484
"13",26,3.407253,-77.307772,25.25,2.5,25.6000003814697,6553.5,21,2788.30004882812
"14",28,3.449435,-76.500648,22.1499996185303,7.40000009536743,24,1240.30004882812,42.5,344.700012207031
"15",29,3.86136,-76.521769,18.4500007629395,5.90000009536743,20.2000007629395,2892.89990234375,22.8999996185303,824.099975585938
"16",30,1.598983,-76.113383,13.75,8.19999980926514,61.5999984741211,5208.39990234375,23,1348.30004882812
"17",33,5.898994,-74.74291,26.9500007629395,8.89999961853027,63.5,2726.60009765625,39.0999984741211,512.900024414062
"18",34,5.903965,-74.78467,26.3500003814697,8.80000019073486,58.7999992370605,2950.19995117188,38.2999992370605,560.099975585938
"19",35,5.909998,-74.86274,25.6499996185303,8.69999980926514,55.2999992370605,3390.89990234375,36.2000007629395,650.599975585938
"20",36,5.925588,-74.80663,25.5499992370605,8.80000019073486,54.5,3134.80004882812,37.5999984741211,608
"21",37,6.21,-75.59,20.0499992370605,9.10000038146973,19.5,2010.69995117188,33.2000007629395,582.599975585938
"22",38,6.18,-74.58,28.25,8.80000019073486,73.1999969482422,2228.19995117188,38.2000007629395,526.700012207031
"23",39,6.56,-74.79,21.8500003814697,8.60000038146973,39.0999984741211,3551.30004882812,40.7999992370605,1036.40002441406
"24",40,5.67,-75.72,17.25,8.80000019073486,22.5,3192.39990234375,29.2000007629395,716.900024414062
"25",41,6.380528,-75.034833,20.75,8.39999961853027,35.0999984741211,4044.30004882812,36.9000015258789,1159.30004882812
"26",43,6.214722,-74.811889,24.5499992370605,8.30000019073486,48.7000007629395,4029,35,1066.5
"27",44,5.05,-76.95,25.4500007629395,5.30000019073486,31.3999996185303,6553.5,9.69999980926514,1504.90002441406
"28",45,4.75,-77.3,25.6499996185303,3.40000009536743,26,6534.89990234375,22.1000003814697,1335.09997558594
"29",47,1.75,-76.07,16.4500007629395,8.30000019073486,66.1999969482422,2628.10009765625,21.6000003814697,699.900024414062
"30",49,2.5,-76.4,13.25,7.19999980926514,17.5,2479.30004882812,47.5999984741211,726.099975585938
"31",53,5.865472,-74.86919,26.1499996185303,8.69999980926514,59.2000007629395,3170.10009765625,36.7999992370605,583.799987792969
"32",56,2.435071,-76.603601,18.5499992370605,7.40000009536743,18,2268.39990234375,45.2000007629395,249.800003051758
"33",57,4.5575,-75.3277,17.25,7.30000019073486,17.8999996185303,2763,25.8999996185303,842.200012207031
"34",58,5.59168,-75.816047,17.1499996185303,8.10000038146973,22.5,2781,26.7999992370605,644.799987792969
"35",59,4.283196,-75.555137,11.4499998092651,7.90000009536743,41.9000015258789,2858.80004882812,28.2999992370605,540.099975585938
"36",60,5.935722,-74.859667,24.25,8.60000038146973,48.2000007629395,3580.69995117188,35.7000007629395,702.200012207031
"37",61,5.591205,-75.815523,16.9500007629395,8.10000038146973,21.7000007629395,2764.19995117188,26.7000007629395,642.799987792969
"38",65,5.594509,-75.818476,17.6499996185303,8,21.3999996185303,2705,26.6000003814697,628.700012207031
"39",66,3.267367,-74.276505,22.6499996185303,8,83.3000030517578,2323.30004882812,41.2000007629395,319
"40",67,4.439933,-75.42301,17.4500007629395,7.59999990463257,18,2096.5,27.5,638.400024414062
"41",68,5.572938,-75.774506,13.8500003814697,8.30000019073486,20.8999996185303,3015.39990234375,27.2000007629395,696.5
"42",73,3.270429,-74.27214,22.9500007629395,8,83,2347.30004882812,41.7000007629395,317.700012207031
"43",75,4.809665,-75.710655,19.5499992370605,6.69999980926514,16.7000007629395,3231.69995117188,31.3999996185303,1008.20001220703
"44",77,5.390017,-75.14015,17.4500007629395,9.30000019073486,36.7000007629395,3781,28.1000003814697,723
"45",80,5.075905,-75.49858,15.6499996185303,8.30000019073486,25.5,2807.80004882812,36,897
"46",82,3.25673,-74.2698,22.9500007629395,8.10000038146973,84.0999984741211,2354.30004882812,42.5,312.700012207031
"47",85,4.86815,-72.99882,22.0499992370605,7.5,89.9000015258789,4353.7001953125,63,261.600006103516
"48",87,2.186992,-77.315025,10.4499998092651,6.5,26.2999992370605,4201.89990234375,37,513.799987792969
"49",92,5.828458,-74.83286,26.25,8.89999961853027,62,2945.69995117188,38.4000015258789,527.299987792969
"50",95,5.182892,-75.51553,18.0499992370605,8.60000038146973,23.7999992370605,2961.39990234375,28.2999992370605,738
"51",98,5.80182,-72.17757,21.0499992370605,7.80000019073486,65,3178.69995117188,52.9000015258789,591.400024414062
"52",100,5.215338,-72.87114,21.25,6.40000009536743,56.5,3578.10009765625,50.5999984741211,635.700012207031
"53",101,1.261247,-76.59974,23.25,7.19999980926514,62.2000007629395,3613.69995117188,21.1000003814697,937
"54",104,3.539421,-76.604,15.75,6.5,21.7000007629395,1522.90002441406,32.2999992370605,433.100006103516
"55",105,5.61115,-75.825005,16.8500003814697,8.10000038146973,19.2999992370605,2816.39990234375,26.7999992370605,650.5
"56",106,5.05122,-75.47981,15.75,8.19999980926514,24.5,2650.80004882812,39,858.5
"57",108,5.803537,-74.8399,26.1499996185303,8.89999961853027,62.2999992370605,3022.39990234375,38.0999984741211,535.400024414062
"58",111,4.709442,-75.54968,16.0499992370605,7,19.7999992370605,3149.5,31.6000003814697,952.700012207031
"59",112,3.545418,-76.28857,21.75,7,26.2999992370605,1713.19995117188,44.2000007629395,592.900024414062
"60",115,6.154353,-74.81854,23.9500007629395,8.30000019073486,46.5999984741211,4142.89990234375,34.0999984741211,1044.80004882812
"61",116,6.578163,-75.79692,26.9500007629395,8.5,17.8999996185303,1841.90002441406,37.4000015258789,554.200012207031
"62",117,4.702929,-74.07578,14.3500003814697,8.69999980926514,17.3999996185303,926,36.4000015258789,260
"63",118,6.325941,-75.562355,20.25,8.89999961853027,17.2000007629395,2045.69995117188,34.5999984741211,595.099975585938
"64",120,2.510244,-72.82243,24.9500007629395,7,83.5,2946.69995117188,43.5999984741211,351.200012207031
"65",122,5.062753,-75.48241,15.9499998092651,8.30000019073486,25.3999996185303,2672.5,38.2000007629395,862.599975585938
"66",123,5.244679,-76.10055,16.25,5.40000009536743,18.8999996185303,4699.7998046875,14.6999998092651,1285
"67",127,4.270407,-75.74251,19.3500003814697,7.69999980926514,15,2106.5,31.5,650.5
"68",130,1.646466,-75.5134,23.8500003814697,7.69999980926514,76.5,4289.7001953125,41.9000015258789,674.200012207031
"69",131,2.343383,-76.31713,9.64999961853027,6.59999990463257,53.7000007629395,2482.60009765625,38.0999984741211,712.700012207031
"70",132,4.476849,-73.6684,16.75,7.19999980926514,41.0999984741211,5106.10009765625,50.7999992370605,953.5
"71",133,5.412742,-74.99234,19.4500007629395,9.5,49.0999984741211,3514.39990234375,35.4000015258789,595.599975585938
"72",134,6.08856,-73.81153,12.4499998092651,7.30000019073486,29.3999996185303,5249.2998046875,29.7000007629395,1554.5
"73",136,5.052872,-75.48918,15.8500003814697,8.19999980926514,24.2000007629395,2673.39990234375,38.7000007629395,865
"74",137,6.431716,-76.09113,9.55000019073486,7.30000019073486,24.8999996185303,2365.80004882812,35.2000007629395,636.299987792969
"75",139,3.325692,-74.00092,23.3500003814697,8,78.4000015258789,2871.39990234375,44.5,348.899993896484
"76",142,4.442005,-75.426834,17.8500003814697,7.59999990463257,13.5,2148.10009765625,27.2999992370605,651.299987792969
"77",145,5.841499,-74.02306,18.75,7.59999990463257,27.5,3119.39990234375,34.9000015258789,1025.19995117188
"78",146,1.137229,-77.95826,18.0499992370605,5.09999990463257,18.6000003814697,5146.2998046875,22.2000007629395,1628.5
"79",147,6.489028,-73.03876,18.25,9.5,23.1000003814697,1964.09997558594,34.9000015258789,476.799987792969
"80",155,3.51858,-76.61845,16.0499992370605,6.40000009536743,22.7000007629395,1573.30004882812,32.2999992370605,490.899993896484
"81",158,5.064686,-75.59219,21.0499992370605,7.69999980926514,24.1000003814697,2620.39990234375,27.1000003814697,801.900024414062
"82",160,4.721456,-74.13905,14.4499998092651,8.30000019073486,25.2999992370605,1020.40002441406,38.4000015258789,150.100006103516
"83",161,3.254129,-73.98299,22.25,8,81.1999969482422,3378.30004882812,46.7999992370605,397
