gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
956683988	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS201238401	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	30	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2008-02-11	11	2	2008	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS201238401				CC_BY_4_0		obsr39009			2025-11-05T07:42:25.745Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
955221192	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS199370577	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	near Doradal--4 km E. of Rio Claro Reserve, Oilbird cave area	Antioquia	PRESENT	10	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.922644	-74.8385							2013-01-27	27	1	2013	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS199370577				CC_BY_4_0		obsr328621			2025-11-05T07:42:50.973Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
949705599	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS193581807	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Rio Claro	Antioquia	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	5.886597	-74.85709							2009-05-09	9	5	2009	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS193581807				CC_BY_4_0		obsr238508			2025-11-05T07:39:46.513Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
949628502	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS193501722	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Rio Claro	Antioquia	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	5.886597	-74.85709							2009-05-09	9	5	2009	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS193501722				CC_BY_4_0		obsr230544			2025-11-05T07:43:15.401Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
935865145	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS176661096	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Río Claro area	Antioquia	PRESENT	20	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.9009	-74.8569							2007-01-27	27	1	2007	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS176661096				CC_BY_4_0		obsr162387			2025-11-05T07:43:17.016Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
935860963	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS176643463	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	10	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2006-11-07	7	11	2006	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS176643463				CC_BY_4_0		obsr162387			2025-11-05T07:38:50.448Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
935851007	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS176657549	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	20	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2007-12-03	3	12	2007	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS176657549				CC_BY_4_0		obsr162387			2025-11-05T07:41:34.378Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
935844784	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS176653487	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	50	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2009-03-19	19	3	2009	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS176653487				CC_BY_4_0		obsr162387			2025-11-05T07:42:07.688Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
935810776	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS176743654	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	20	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2012-01-18	18	1	2012	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS176743654				CC_BY_4_0		obsr162387			2025-11-05T07:44:09.062Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
935804679	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS176739873	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	12	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2010-10-14	14	10	2010	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS176739873				CC_BY_4_0		obsr162387			2025-11-05T07:40:01.834Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
