"","x","y","ID","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",-70.7876393257,1.48736074520001,1,24.4500007629395,7.09999990463257,0.796999990940094,53.5,29.8500003814697,20.9500007629395,8.89999961853027,23.75,24.9500007629395,25.0499992370605,23.6499996185303,3022.69995117188,351.399993896484,131.899993896484,28.6000003814697,1040.40002441406,480.299987792969,547.299987792969,942.5
"2",-75.1543059749,7.16236072250001,2,19.4500007629395,7.59999990463257,0.831999957561493,29.2000007629395,24.0499992370605,14.9499998092651,9.10000038146973,19.75,19.25,19.75,19.0499992370605,5162.60009765625,653.5,103.699996948242,47.5,1909.90002441406,447,1871.19995117188,701.299987792969
"3",-74.9876393089,5.57902739550001,3,23.5499992370605,9.30000019073486,0.745999991893768,64.5999984741211,30.5499992370605,18.0499992370605,12.5,23.3500003814697,24.25,24.4500007629395,22.6499996185303,3245.10009765625,426.5,124.400001525879,34.9000015258789,1124.69995117188,478.5,628.900024414062,822.799987792969
"4",-73.8126393136,6.86236072370001,4,26.6499996185303,6.40000009536743,0.822999954223633,36.0999984741211,30.75,22.9500007629395,7.80000019073486,26.25,26.6499996185303,27.0499992370605,26.1499996185303,3001.39990234375,391.899993896484,75,37.5999984741211,1048.69995117188,350.899993896484,623.599975585938,849.5
"5",-68.629306001,3.87902740230001,5,25.3500003814697,6.19999980926514,0.758000016212463,54.5,30.25,22.0499992370605,8.19999980926514,24.6499996185303,25.8500003814697,26.0499992370605,24.5499992370605,3155,440.700012207031,91,44.5999984741211,1262.5,362.100006103516,372.700012207031,1232.19995117188
"6",-71.6793059888,3.96236073530001,6,25.75,7.30000019073486,0.678000032901764,101.400001525879,32.4500007629395,21.6499996185303,10.8000001907349,24.6499996185303,26.9500007629395,27.25,24.5499992370605,2484.19995117188,355.600006103516,25.6000003814697,52,1011.59997558594,165.699996948242,215.800003051758,901.799987792969
"7",-76.0709726379,1.60402741140001,7,12.25,8.10000038146973,0.794999957084656,60.5,17.1499996185303,6.94999980926514,10.1999998092651,12.1499996185303,12.6499996185303,12.75,11.25,4909.2001953125,536.799987792969,245.100006103516,23.2999992370605,1576.30004882812,862.799987792969,1296.69995117188,1488.90002441406
"8",-74.0043059795,9.32902738050001,8,27.6499996185303,7,0.689999997615814,73.8000030517578,33.75,23.5499992370605,10.1999998092651,26.75,28.25,28.75,26.75,1976.59997558594,308.399993896484,21.8999996185303,53.7000007629395,785.400024414062,129.5,147.5,785.400024414062
"9",-75.0959726418,6.74569405750001,9,22.6499996185303,8.89999961853027,0.806999981403351,32.2999992370605,28.4500007629395,17.4500007629395,11,22.75,22.25,22.9500007629395,22.25,2635.19995117188,349.5,53.0999984741211,43.7999992370605,897.099975585938,241.899993896484,797.400024414062,371.5
"10",-69.9959726622,5.86236072770001,10,26.4500007629395,7.19999980926514,0.662000000476837,107.400001525879,33.1500015258789,22.3500003814697,10.8000001907349,25.3500003814697,27.4500007629395,28.1499996185303,25.25,2518.80004882812,397.799987792969,19.1000003814697,63.2999992370605,1137.40002441406,111.5,132.800003051758,1098.40002441406
"11",-74.2543059785,3.39569407090001,11,17.3500003814697,7.19999980926514,0.759999990463257,63.9000015258789,22.3500003814697,12.8500003814697,9.5,17.3500003814697,17.8500003814697,18.0499992370605,16.4500007629395,2604.80004882812,316.799987792969,84.1999969482422,36.2999992370605,895.200012207031,345.299987792969,651.599975585938,652.900024414062
"12",-77.8626392974,1.76236074410001,12,22.3500003814697,4.59999990463257,0.817000031471252,28.3999996185303,25.25,19.6499996185303,5.59999990463257,22.75,22.0499992370605,22.75,22.0499992370605,6553.5,684,369.600006103516,17.8999996185303,1920.69995117188,1287.5,1920.69995117188,1287.5
"13",-69.6709726635,-2.60430590509999,13,25.25,6.69999980926514,0.782000005245209,43.5999984741211,30.0499992370605,21.5499992370605,8.5,25.3500003814697,24.8500003814697,25.6499996185303,24.5499992370605,3446.30004882812,365.200012207031,197.5,19.7999992370605,1053,625.299987792969,849,686.299987792969
"14",-73.4293059818,6.82069405720001,14,21.25,6.69999980926514,0.864000022411346,24.7999992370605,25.25,17.5499992370605,7.69999980926514,21.0499992370605,21.0499992370605,21.6499996185303,20.9500007629395,3390.19995117188,427.799987792969,151.800003051758,27.5,1087.5,562.200012207031,1019.20001220703,679.799987792969
"15",-74.1459726456,-0.495972580199991,15,24.75,6.19999980926514,0.726000010967255,65.5999984741211,29.75,21.25,8.5,24.3500003814697,25.4500007629395,25.4500007629395,23.75,3488.5,425.5,134.399993896484,28.3999996185303,1205.5,559.700012207031,628.299987792969,1060.59997558594
"16",-75.0293059754,2.96236073930001,16,21.1499996185303,7.69999980926514,0.851000010967255,30.3999996185303,25.8500003814697,16.8500003814697,9,20.9500007629395,20.9500007629395,21.4500007629395,20.8500003814697,2339.80004882812,349.100006103516,67.5,46.9000015258789,907,247.300003051758,600.400024414062,375.700012207031
"17",-70.8876393253,0.0623607509000088,17,24.3500003814697,6.59999990463257,0.797999978065491,50.2999992370605,29.25,20.9500007629395,8.30000019073486,24.0499992370605,24.75,24.8500003814697,23.5499992370605,3312.60009765625,380.5,199.300003051758,22.1000003814697,1096.5,646.900024414062,697.599975585938,945.799987792969
"18",-73.9293059798,10.9290273741,18,11.4499998092651,6.5,0.787000000476837,44.5999984741211,14.8500003814697,6.65000009536743,8.19999980926514,11.5500001907349,10.9499998092651,11.9499998092651,10.8500003814697,4030.80004882812,550.700012207031,40.9000015258789,56.2999992370605,1635.5,191.199996948242,1191.90002441406,275
"19",-73.6543059809,-0.520972580099992,19,24.8500003814697,6.40000009536743,0.75900000333786,62.2000007629395,29.75,21.3500003814697,8.39999961853027,24.4500007629395,25.4500007629395,25.4500007629395,23.9500007629395,3329.80004882812,393.5,133.899993896484,27.2999992370605,1145.19995117188,550.599975585938,599.200012207031,988.299987792969
"20",-71.5709726559,-1.54597257599999,20,24.9500007629395,6.59999990463257,0.797999978065491,47.7999992370605,29.75,21.4500007629395,8.30000019073486,24.75,24.9500007629395,25.3500003814697,24.25,3772.60009765625,416.700012207031,228.699996948242,16.7999992370605,1169,775.400024414062,936,885
"21",-74.2459726452,9.44569404670001,21,27.6499996185303,7.80000019073486,0.669999957084656,83.5999984741211,34.6500015258789,22.9500007629395,11.6999998092651,26.9500007629395,28.3500003814697,28.8500003814697,26.6499996185303,1655.19995117188,234.199996948242,22.1000003814697,50.7999992370605,630.299987792969,118,128.5,616.099975585938
"22",-69.2043059987,2.20402740900001,22,24.75,6.80000019073486,0.796000003814697,49.5,29.8500003814697,21.3500003814697,8.5,24.1499996185303,25.1499996185303,25.25,24.0499992370605,3246.69995117188,405.799987792969,155.100006103516,32.7000007629395,1197.69995117188,514.599975585938,539,1102.30004882812
"23",-74.5626393106,2.37069407500001,23,25.1499996185303,8,0.711000025272369,92.4000015258789,31.8500003814697,20.5499992370605,11.3000001907349,24.5499992370605,26.3500003814697,26.4500007629395,23.9500007629395,3027.80004882812,406.200012207031,61.5,42.5,1153.5,299,445.899993896484,1026.09997558594
"24",-76.9709726343,2.95402740600001,24,20.5499992370605,4.69999980926514,0.822000026702881,24.5,22.9500007629395,17.25,5.69999980926514,20.25,20.4500007629395,20.8500003814697,20.25,6553.5,1293.90002441406,859.099975585938,13.5,3735.10009765625,2761.19995117188,3227.89990234375,3660.80004882812
"25",-73.4459726484,2.12902740930001,25,24.75,6.80000019073486,0.703000009059906,79.3000030517578,30.6499996185303,20.9500007629395,9.69999980926514,24.25,25.6499996185303,25.75,23.6499996185303,2630.89990234375,353.5,50.0999984741211,42.9000015258789,1016.20001220703,269.100006103516,340.5,888.700012207031
"26",-71.4876393229,6.43736072540001,26,25.8500003814697,7,0.694999992847443,82.9000015258789,32.0499992370605,21.9500007629395,10.1000003814697,24.9500007629395,26.4500007629395,26.9500007629395,24.75,2259.19995117188,343.100006103516,20.7999992370605,57.4000015258789,945.099975585938,136.100006103516,142.100006103516,908.599975585938
"27",-76.9043059679,2.97069407260001,27,16.5499992370605,5.19999980926514,0.840999960899353,23,19.25,13.0500001907349,6.19999980926514,16.25,16.4500007629395,16.8500003814697,16.25,6553.5,1060.59997558594,615.700012207031,17.2000007629395,3024.69995117188,1992.40002441406,2550,3024.69995117188
"28",-77.2459726332,7.32069405520001,28,26.3500003814697,6.59999990463257,0.741999983787537,52.2000007629395,31.6499996185303,22.75,8.89999961853027,26.0499992370605,27.1499996185303,27.1499996185303,25.8500003814697,3244.19995117188,365.899993896484,90.4000015258789,37.0999984741211,1047.80004882812,318,479.899993896484,1022.09997558594
"29",-74.379305978,5.01236073110001,29,20.75,6.30000019073486,0.822999954223633,27.1000003814697,24.5499992370605,16.9500007629395,7.59999990463257,20.4500007629395,21.0499992370605,21.0499992370605,20.4500007629395,1963.09997558594,266.5,55,42.7000007629395,675.700012207031,218.399993896484,218.399993896484,536.900024414062
"30",-73.3709726487,4.37069406700001,30,24.6499996185303,7.90000009536743,0.717999994754791,89.6999969482422,30.9500007629395,19.9500007629395,11,23.5499992370605,25.5499992370605,25.9500007629395,23.4500007629395,4888.10009765625,714.200012207031,66.6999969482422,49.5999984741211,1916.40002441406,364.899993896484,446.100006103516,1646.40002441406
"31",-69.8043059963,4.07069406820001,31,24.9500007629395,7,0.709999978542328,74.8000030517578,31.3500003814697,21.4500007629395,9.89999961853027,24.1499996185303,25.8500003814697,26.0499992370605,24.0499992370605,3259.5,452.200012207031,65.8000030517578,47.9000015258789,1322.80004882812,295.899993896484,317.100006103516,1251.30004882812
"32",-74.1959726454,7.82902738650001,32,22.0499992370605,6.5,0.848999977111816,22.8999996185303,26.1499996185303,18.5499992370605,7.59999990463257,22.25,21.9500007629395,22.25,21.6499996185303,2975.30004882812,388.700012207031,35.2000007629395,51.2000007629395,1074.59997558594,191.5,797.900024414062,673.099975585938
"33",-69.3293059982,4.16236073450001,33,25.0499992370605,6.59999990463257,0.717000007629395,68.6999969482422,30.8500003814697,21.6499996185303,9.19999980926514,24.25,25.75,25.9500007629395,24.1499996185303,3033.5,414.299987792969,59.7999992370605,47.2999992370605,1218.09997558594,282.799987792969,303.100006103516,1168.59997558594
"34",-76.045972638,5.16236073050001,34,12.6499996185303,5.90000009536743,0.88100004196167,17.5,16.0499992370605,9.35000038146973,6.69999980926514,12.3500003814697,12.6499996185303,12.8500003814697,12.3500003814697,3226.89990234375,342.600006103516,186.300003051758,18.8999996185303,929.799987792969,614,922.5,929.799987792969
"35",-76.5293059694,7.52902738770001,35,24.4500007629395,6.40000009536743,0.814000010490417,31.7000007629395,28.6499996185303,20.8500003814697,7.80000019073486,24.4500007629395,24.8500003814697,24.9500007629395,24.1499996185303,4859,587.900024414062,137.699996948242,38,1671.19995117188,484.299987792969,723.099975585938,1487.19995117188
"36",-75.3209726409,0.045694084300008,36,24.75,6.30000019073486,0.746999979019165,67.1999969482422,29.4500007629395,21.0499992370605,8.39999961853027,23.9500007629395,25.4500007629395,25.4500007629395,23.75,3028.5,381.299987792969,127.400001525879,30.2999992370605,1058.90002441406,467.200012207031,467.200012207031,944.900024414062
"37",-77.795972631,2.59569407410001,37,25.25,3.09999990463257,0.792999982833862,25.2000007629395,27.1499996185303,23.25,3.90000009536743,25.3500003814697,25.3500003814697,25.6499996185303,25.0499992370605,6553.5,784.200012207031,481,13.1000003814697,2129,1546.80004882812,1885.90002441406,1850
