"","x","y","bio_01","bio_02","bio_12","bio_15","bio_18"
"1",-70.7876393257,1.48736074520001,24.4500007629395,7.09999990463257,3022.69995117188,28.6000003814697,547.299987792969
"2",-75.1543059749,7.16236072250001,19.4500007629395,7.59999990463257,5162.60009765625,47.5,1871.19995117188
"3",-74.9876393089,5.57902739550001,23.5499992370605,9.30000019073486,3245.10009765625,34.9000015258789,628.900024414062
"4",-73.8126393136,6.86236072370001,26.6499996185303,6.40000009536743,3001.39990234375,37.5999984741211,623.599975585938
"5",-68.629306001,3.87902740230001,25.3500003814697,6.19999980926514,3155,44.5999984741211,372.700012207031
"6",-71.6793059888,3.96236073530001,25.75,7.30000019073486,2484.19995117188,52,215.800003051758
"7",-76.0709726379,1.60402741140001,12.25,8.10000038146973,4909.2001953125,23.2999992370605,1296.69995117188
"8",-74.0043059795,9.32902738050001,27.6499996185303,7,1976.59997558594,53.7000007629395,147.5
"9",-75.0959726418,6.74569405750001,22.6499996185303,8.89999961853027,2635.19995117188,43.7999992370605,797.400024414062
"10",-69.9959726622,5.86236072770001,26.4500007629395,7.19999980926514,2518.80004882812,63.2999992370605,132.800003051758
"11",-74.2543059785,3.39569407090001,17.3500003814697,7.19999980926514,2604.80004882812,36.2999992370605,651.599975585938
"12",-77.8626392974,1.76236074410001,22.3500003814697,4.59999990463257,6553.5,17.8999996185303,1920.69995117188
"13",-69.6709726635,-2.60430590509999,25.25,6.69999980926514,3446.30004882812,19.7999992370605,849
"14",-73.4293059818,6.82069405720001,21.25,6.69999980926514,3390.19995117188,27.5,1019.20001220703
"15",-74.1459726456,-0.495972580199991,24.75,6.19999980926514,3488.5,28.3999996185303,628.299987792969
"16",-75.0293059754,2.96236073930001,21.1499996185303,7.69999980926514,2339.80004882812,46.9000015258789,600.400024414062
"17",-70.8876393253,0.0623607509000088,24.3500003814697,6.59999990463257,3312.60009765625,22.1000003814697,697.599975585938
"18",-73.9293059798,10.9290273741,11.4499998092651,6.5,4030.80004882812,56.2999992370605,1191.90002441406
"19",-73.6543059809,-0.520972580099992,24.8500003814697,6.40000009536743,3329.80004882812,27.2999992370605,599.200012207031
"20",-71.5709726559,-1.54597257599999,24.9500007629395,6.59999990463257,3772.60009765625,16.7999992370605,936
"21",-74.2459726452,9.44569404670001,27.6499996185303,7.80000019073486,1655.19995117188,50.7999992370605,128.5
"22",-69.2043059987,2.20402740900001,24.75,6.80000019073486,3246.69995117188,32.7000007629395,539
"23",-74.5626393106,2.37069407500001,25.1499996185303,8,3027.80004882812,42.5,445.899993896484
"24",-76.9709726343,2.95402740600001,20.5499992370605,4.69999980926514,6553.5,13.5,3227.89990234375
"25",-73.4459726484,2.12902740930001,24.75,6.80000019073486,2630.89990234375,42.9000015258789,340.5
"26",-71.4876393229,6.43736072540001,25.8500003814697,7,2259.19995117188,57.4000015258789,142.100006103516
"27",-76.9043059679,2.97069407260001,16.5499992370605,5.19999980926514,6553.5,17.2000007629395,2550
"28",-77.2459726332,7.32069405520001,26.3500003814697,6.59999990463257,3244.19995117188,37.0999984741211,479.899993896484
"29",-74.379305978,5.01236073110001,20.75,6.30000019073486,1963.09997558594,42.7000007629395,218.399993896484
"30",-73.3709726487,4.37069406700001,24.6499996185303,7.90000009536743,4888.10009765625,49.5999984741211,446.100006103516
"31",-69.8043059963,4.07069406820001,24.9500007629395,7,3259.5,47.9000015258789,317.100006103516
"32",-74.1959726454,7.82902738650001,22.0499992370605,6.5,2975.30004882812,51.2000007629395,797.900024414062
"33",-69.3293059982,4.16236073450001,25.0499992370605,6.59999990463257,3033.5,47.2999992370605,303.100006103516
"34",-76.045972638,5.16236073050001,12.6499996185303,5.90000009536743,3226.89990234375,18.8999996185303,922.5
"35",-76.5293059694,7.52902738770001,24.4500007629395,6.40000009536743,4859,38,723.099975585938
"36",-75.3209726409,0.045694084300008,24.75,6.30000019073486,3028.5,30.2999992370605,467.200012207031
"37",-77.795972631,2.59569407410001,25.25,3.09999990463257,6553.5,13.1000003814697,1885.90002441406
"38",-71.462639323,0.345694083100009,24.6499996185303,6.90000009536743,3209.89990234375,23.5,645.099975585938
"39",-76.1876393041,9.00402738180001,26.75,4.30000019073486,1527.59997558594,60.4000015258789,139.800003051758
"40",-75.6043059731,7.31236072190001,15.9499998092651,6.90000009536743,4649,47.7000007629395,1485.59997558594
"41",-72.3626393194,3.57069407020001,25.75,7.30000019073486,2731.60009765625,52.4000015258789,255.199996948242
"42",-72.3626393194,2.37902740830001,24.6499996185303,7.19999980926514,3136.19995117188,41.0999984741211,406.200012207031
"43",-73.9209726465,9.35402738040001,27.75,7.19999980926514,1920.40002441406,54.9000015258789,139.5
"44",-68.4293060018,6.17902739310001,27.0499992370605,7.09999990463257,2338.60009765625,72.0999984741211,86.4000015258789
"45",-75.379305974,7.12069405600001,21.75,7.40000009536743,4832,43.7000007629395,1547.40002441406
"46",-72.3709726527,4.09569406810001,25.9500007629395,7.30000019073486,2876.89990234375,56.9000015258789,222.800003051758
"47",-70.5959726598,4.56236073290001,25.75,7.09999990463257,2854.19995117188,53.0999984741211,214.800003051758
"48",-73.0543059833,2.12069407600001,24.25,6.80000019073486,2853.60009765625,42.2000007629395,366.799987792969
"49",-73.5876393145,4.43736073340001,14.3500003814697,7.30000019073486,5610.7998046875,49.0999984741211,1058.40002441406
"50",-72.5626393186,4.84569406510001,26.25,7.69999980926514,3350.19995117188,63.2000007629395,198.100006103516
"51",-71.8626393214,-2.12930590699999,25.25,6.30000019073486,3541,16.2000007629395,916.200012207031
"52",-72.7209726513,8.38736071760001,26.25,8.60000038146973,2108.30004882812,39.7999992370605,498.399993896484
"53",-74.7709726431,4.74569406550001,26.6499996185303,7.69999980926514,1660.5,35.2999992370605,323.399993896484
"54",-76.0293059714,3.82902740250001,14.1499996185303,8.19999980926514,4536.10009765625,16.2999992370605,1311.90002441406
"55",-69.6459726636,-2.15430590689999,25.1499996185303,6.69999980926514,3502.80004882812,18.7000007629395,825.599975585938
"56",-71.1376393243,2.29569407530001,24.75,7,2968.39990234375,35,448.5
"57",-72.1543059869,4.73736073220001,26.25,7.5,3257.60009765625,59.5,225.399993896484
"58",-75.2876393077,8.28736071800001,27.25,6.5,2370.19995117188,61.7999992370605,108.400001525879
"59",-74.4209726445,10.3123607099,27.1499996185303,8.19999980926514,1330.09997558594,57.7000007629395,182.300003051758
"60",-72.7209726513,1.13736074660001,24.0499992370605,7,3097.39990234375,35.7000007629395,474.100006103516
